"earnings","retirement","interest","assistance","other","male","over65","white","immig","educ_r","workmos","workhrs_top","any_ssi","any_welfare","any_charity"
84,0.7,0.2,0,0,1,0,1,1,4,12,40,0,0,0
NA,0,0,0,0,0,0,0,1,4,12,40,0,0,0
27.5,0,0.16,0,0,1,0,0,1,2,10,40,0,0,0
85,12,5,0,NA,1,1,1,0,4,11,8,0,0,0
135,0,0.1,0,0.1,1,0,0,0,4,12,40,0,0,0
0,NA,NA,NA,NA,0,0,0,0,4,0,40,0,0,0
92,0,1.5,0,2,0,0,1,0,4,12,40,0,0,0
0,NA,0,0,0,0,1,0,0,2,0,0,0,0,0
35,0,0.65,0,0,0,0,1,0,4,7,40,0,0,0
27,0,0,0,37,1,0,0,0,3,12,32,0,0,0
0,NA,NA,1,0,1,1,0,0,1,0,0,0,0,0
14.4,0,1,0,0,1,0,1,0,4,8,30,0,0,0
NA,0,0,0,0,0,0,0,1,4,12,35,0,0,0
5,NA,0.5,0,0,0,0,1,0,2,4,5,0,0,0
12.2,0,0,NA,0.5,1,0,0,0,2,6,40,0,0,0
25,0,0.1,0,0,1,0,0,1,3,12,40,0,0,0
80,0,0,0,0,1,0,1,0,2,12,40,0,0,0
250,0,0,0,0,1,0,1,1,2.5,12,40,0,0,0
12,0,0.5,1,0,0,0,1,1,2,12,20,0,0,0
2,0,0,1,3,0,0,0,1,2,6,8,0,0,1
64,0,0.18,0,0,0,0,1,0,4,12,30,0,0,0
15,0,0,0,0,1,0,0,0,2,12,40,0,0,0
40,0,0,0,0.1,0,0,0,0,4,8,40,0,0,0
11.6,0,0,2.2,0.1,0,0,0,0,2,10,40,0,1,0
21,0,0,0,0,0,0,0,1,2,12,40,0,0,0
71,0,0,0,0,0,0,0,1,3,12,40,0,0,0
200,0,100,0,0,1,0,0,0,3,12,40,0,0,0
26.88,0,0,0,0,1,0,0,1,3,12,40,0,0,0
57.5,0,0,0,0,1,0,0,0,2,12,40,0,0,0
0,NA,0,NA,0,0,0,0,0,1,0,40,0,0,0
0,5,0,3.36,0,0,0,0,1,1,0,0,1,0,0
9.6,0,0,0,0.25,0,0,0,1,1,12,39,0,0,0
NA,0,0,NA,0.6,0,0,0,0,1,8,40,1,0,0
39,0,0.1,0,0,0,0,0,0,3,12,40,0,0,0
80,0,0.2,0,0,1,0,1,0,4,12,40,0,0,0
2.4,0,0,0,NA,1,0,0,1,1,3,5,0,0,0
110,0,0.1,0,0,0,0,1,0,3,12,40,0,0,0
12,0,0,2.4,0,0,0,0,1,4,12,20,1,0,0
0,3.5,0,0,0,0,1,0,0,1,0,0,0,0,0
55,0,0,0,0,1,0,0,0,3,12,35,0,0,0
0,NA,NA,NA,0,0,1,1,0,4,0,0,0,0,0
0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
6.5,0,0,0,0,1,0,1,0,3,12,12,0,0,0
0,NA,NA,0,0,0,1,1,0,2,0,0,0,0,0
34,7,0,5.16,0.3,0,0,1,0,3,12,40,1,0,0
37.5,0,0,NA,0,1,0,0,0,1,12,40,0,0,0
130,0,0,0,0.5,0,0,0,0,4,12,35,0,0,0
NA,0,NA,0,NA,0,0,0,0,4,12,40,0,0,0
0.66,0,0,2.4,0.05,0,0,0,0,2,3,40,0,1,0
132,0,NA,0,0.5,0,0,1,0,4,12,40,0,0,0
0,0,0,NA,0,0,0,0,1,2,0,0,1,0,0
NA,0,0,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,0,0,NA,1,0,1,0,1,11,40,0,0,0
76.5,0,0,0,0,1,0,1,0,3,10,40,0,0,0
0,33,0,0,0.25,0,1,0,0,3,0,0,0,0,0
60,0,0,0,7,1,0,1,0,4,12,40,0,0,0
0,NA,0.1,0,0,1,1,0,0,4,0,0,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,20,0,0,0
40,0,NA,0,3,0,0,1,0,4,12,40,0,0,0
NA,0,0,0,0,0,0,1,0,4,12,40,0,0,0
40,0,NA,0,0,0,0,0,0,4,12,40,0,0,0
NA,NA,0,0,0,0,0,0,0,2,11,40,0,0,0
6,0,0.1,0,0,1,0,1,0,4,4,20,0,0,0
NA,NA,0,NA,NA,0,0,0,0,4,5,3,0,0,0
40,0,0,0,0,1,0,0,1,3,12,40,0,0,0
0,0,0,4,0,0,0,0,1,3,0,0,0,0,0
NA,0,0,0,0,1,0,0,1,3,11,40,0,0,0
5.6,1.4,0.15,0,6,0,0,1,0,4,12,30,0,0,0
60,0,0.3,2.2,0,0,0,0,0,4,12,40,0,0,1
20,0,0.1,0,2,1,0,0,0,3,9,30,0,0,0
98,0,0,0,0,0,0,1,1,4,12,40,0,0,0
100,0,0,0,0.5,0,0,0,0,3,12,40,0,0,0
60,0,1,0,0,1,0,0,0,4,12,40,0,0,0
0,3.1,0,0,0,1,0,0,0,1,0,0,0,0,0
35,9,0.1,14,0,1,0,1,0,4,12,35,0,0,0
0,19,0,0,0,0,0,0,1,4,0,0,0,0,0
0,21,2,0,0,0,1,1,0,3,0,0,0,0,0
30,0,0,0,2,0,0,0,1,3,12,40,0,0,0
0,NA,NA,0,0,0,1,1,1,4,0,0,0,0,0
NA,0,0,0,0.3,1,0,0,0,2,8,40,0,0,0
0,20,NA,0,0,0,1,0,1,2,0,0,0,0,0
50,0,0,0,0,0,0,1,1,3,12,40,0,0,0
40,0,0,0,0,1,0,0,1,2,12,40,0,0,0
0,0,0,0,NA,1,0,1,1,4,0,0,0,0,0
70,0,0,0,0,1,0,0,1,4,10,40,0,0,0
10.4,0,0,10.8,0,1,0,0,1,4,12,40,0,0,1
15,0,0,NA,NA,1,0,0,0,2,12,25,0,0,0
80,0,0,0,0,0,0,0,0,4,10,35,0,0,0
14,0,0,0.2,5,0,0,0,0,4,11,40,0,0,0
87,0,0,0,0,1,0,0,1,4,12,40,0,0,0
NA,0,0,0,0,1,0,0,0,3,9,40,0,0,0
135,0,0,0,0,0,0,1,0,2,12,40,0,0,0
NA,0,0,0,0,0,0,0,0,2,12,40,0,0,0
3,0,1.5,0,1,1,0,1,0,3,1,6,0,0,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0,0,NA,0,0,0,0,1,1,4,0,0,0,0,0
0,NA,0,0,0,1,1,0,1,2,0,0,0,0,0
42,0,23,0,0,1,0,0,1,4,12,35,0,0,0
28,0,2.5,0,1,0,0,0,0,4,12,40,0,0,0
NA,0,0,NA,0,0,0,0,1,2,9,40,0,0,0
0,0,0,0,10,1,0,1,1,4,0,0,0,0,0
0,0,0,NA,0,0,1,0,1,2,0,0,0,0,0
32,0,0,0,NA,1,0,1,0,3,12,40,0,0,0
7.5,0,0,0,0,0,0,1,1,1,11,40,0,0,0
45,0,2,0,0.3,1,0,1,0,4,12,40,0,0,0
31,0,0,0,0.5,1,0,0,0,2,12,40,0,0,0
NA,NA,NA,0,0,0,0,0,0,3,12,40,0,0,0
1.92,0,0,2.46,0.6,0,0,0,0,3,12,40,0,1,0
NA,0,0,0,0,1,0,0,0,4,12,40,0,0,0
NA,0,0,0,0,0,0,0,1,2,12,40,0,0,0
50,0,NA,2.88,0,1,0,0,0,4,10,40,0,0,0
NA,0,0,0,0,0,0,0,0,3,12,35,0,0,0
0,30.5,25,0,0,1,0,1,0,4,0,0,0,0,0
17.5,25,3.5,0,0,1,0,1,0,2,12,35,0,0,0
0,0,0,0,0,1,0,1,0,2.5,0,0,0,0,0
18,0,0.1,0,0.1,1,0,0,0,4,12,40,0,0,0
NA,NA,0,0,NA,1,0,0,1,2,3,35,0,0,0
0,NA,NA,0,NA,0,1,1,0,3,0,0,0,0,0
38,0,8,0,0.5,1,0,0,1,3,12,40,0,0,0
56,0,0,0,0,1,0,0,0,4,12,40,0,0,0
20,0,20,0,1.5,0,0,0,1,4,6,20,0,0,0
35,0,0.2,0,0,0,0,0,1,4,12,40,0,0,0
47.5,0,0.1,0,0,1,0,0,0,2,12,40,0,0,0
0,0,0,NA,0,0,0,0,1,2,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,4,12,40,0,0,0
0,NA,NA,0,0.1,1,0,0,0,4,0,0,0,0,0
0,0,0,1.612,0,0,1,0,0,2,0,0,0,0,0
NA,0.4,0,0,0.5,0,0,0,1,1,12,40,0,0,0
142,0,NA,0,0,0,0,0,0,3,12,40,0,0,0
0,7.8,0,7.404,NA,0,0,0,1,2,0,0,1,0,0
2.3,0,0.1,0,0,1,0,0,1,3,4,20,0,0,0
60,55,2,0,0,1,0,0,1,3,12,40,0,0,0
12,0,0,4.4,0,0,0,0,1,3,12,40,0,1,0
45,0,0,0,0.2,1,0,1,0,3,12,40,0,0,0
NA,0,NA,0,0,1,0,0,0,4,12,40,0,0,0
0,NA,NA,NA,NA,0,0,0,1,2,0,0,0,0,0
40,0,0,0,0.5,0,0,0,0,4,12,35,0,0,0
14,0,0,0,0,1,0,0,0,2,8,40,0,0,0
53.4,0,0,0,0,1,0,0,1,3,12,40,0,0,0
20,0,0.3,0,NA,1,0,0,1,4,10,40,0,0,0
76,0,0,0,0,0,0,0,0,4,12,37,0,0,0
0,20.82,1,12,0.1,0,1,1,0,2,0,0,0,0,0
NA,0,NA,0,NA,0,0,1,0,2,12,40,0,0,0
6.96,0,0,0,0,0,0,0,1,1,12,12,0,0,0
160,0,0,0,0,1,0,1,0,4,12,40,0,0,0
NA,0,0,0,0,0,0,1,1,2,12,40,0,0,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0,38,19,NA,0,1,1,1,0,3,0,0,0,0,0
18.9,14.4,0,7.2,0,0,0,1,0,2,12,35,1,0,0
26,0,0,0,1,0,0,1,0,4,12,40,0,0,0
NA,0,NA,0,0,1,0,1,0,4,12,35,0,0,0
21,0,0.5,0,2,1,0,1,1,4,12,24,0,0,0
45,0,0,0,0,1,0,0,0,2,12,37,0,0,0
20,0,0,0,0.1,0,0,1,0,4,12,40,0,0,0
34,0,0,0,0,0,0,1,0,4,12,30,0,0,0
140,0,0,0,0,0,0,0,0,3,12,20,0,0,0
4.3,NA,NA,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,0,0,10,0,0,1,0,4,4,35,0,0,0
90,0,0,0,0.1,0,0,1,0,3,12,40,0,0,0
220,0,1,0,15,0,0,1,0,4,12,40,0,0,0
90,0,0,0,0,0,0,0,1,4,12,40,0,0,0
0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
120,300,300,0,0,0,0,0,0,4,10,15,0,0,0
NA,0,0,0,NA,0,0,1,0,4,11,40,0,0,0
20.712,1.736,0,11.736,0,0,0,0,0,3,12,40,1,0,1
0,0,0,7.656,0,0,0,0,0,1,0,0,1,0,0
NA,0,NA,0,NA,1,0,1,0,4,12,40,0,0,0
412,0,0,0,0,0,0,0,1,3,12,40,0,0,0
9,0,0,0,2,0,0,0,0,4,6,35,0,0,0
36,0,0,0,0.6,0,0,0,0,3,12,40,0,0,0
0,0,0,0,1,1,0,1,1,4,0,0,0,0,0
NA,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,0,0,0,0,0,0,0,3,12,30,0,0,0
0,NA,NA,0,0,0,1,1,0,2,0,0,0,0,0
83,0,0.1,0,0.1,0,0,0,0,2,11,36,0,0,0
20,0,0,3,0.8,1,0,0,1,2,6,40,0,0,0
63,0,0,NA,0,1,0,0,1,3,12,38,0,0,0
0,60,NA,0,0,1,1,1,0,2,0,0,0,0,0
5,0,0,0,0.15,0,0,0,0,3,9,22,0,0,0
23.3,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,0,0,2,0,0,0,1,2,3,40,0,0,0
0,0,NA,0,0,0,0,0,0,2,0,0,0,0,0
NA,0,0,0,0,1,0,0,1,1,12,40,0,0,0
84,0,0.2,0,0.4,1,0,0,0,4,12,40,0,0,0
0,7,20,0,0,1,1,1,0,1,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,2,12,40,0,0,0
0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
79.2,0,0,0,0,1,0,0,0,2,12,40,0,0,0
60,0,NA,0,0,0,0,0,1,4,12,40,0,0,0
0,0,0,0,0.7,0,0,0,0,1,0,0,0,0,0
30,0,0,0,1,1,0,1,0,4,12,40,0,0,0
70,0,NA,0.45,NA,0,0,1,0,1,12,20,0,0,0
100,0,0.1,0,0,1,0,1,0,4,12,35,0,0,0
0,NA,NA,0,0,1,1,1,0,4,0,0,0,0,0
26.2,0,0,0,0,1,0,0,1,1,12,30,0,0,0
11,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,0,0,NA,1,0,1,0,3,12,40,0,0,0
17.5,0,0,0,0.5,0,0,0,0,1,12,25,0,0,0
26.5,0,0.1,0,0,0,0,0,1,4,12,35,0,0,0
0,0,0,1.2,0,0,1,0,0,3,0,0,0,0,0
NA,0,NA,NA,0,1,0,1,0,3,12,40,0,0,0
NA,0,0,NA,0.2,0,0,0,0,1,11,40,0,0,0
20,0,0,0,0,0,0,0,0,3,12,30,0,0,0
20,25,NA,NA,0,1,1,1,0,3,8,40,0,0,0
14,0,NA,0,0,1,0,0,1,4,12,40,0,0,0
150,0,NA,NA,0,1,0,0,0,4,12,40,0,0,0
22,0,0,NA,0,0,0,0,1,4,12,40,0,0,0
0,0,0,6.3,0,0,0,0,0,2,0,0,1,0,0
101,NA,NA,0,NA,0,0,1,0,4,6,40,0,0,0
0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
325,0,4,0,0,1,0,1,0,4,12,40,0,0,0
120,0,NA,4.2,0,0,0,0,1,4,9,35,0,0,0
0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
55,0,0,3.2,0,1,0,0,0,2,12,40,0,0,0
110,0,0,0,0,1,0,1,1,4,12,40,0,0,0
100,0,0,0,0,1,0,1,0,3,12,40,0,0,0
85,0,0,0,0,1,0,1,0,4,12,40,0,0,0
14,0,0,0,0,1,0,0,1,1,10,40,0,0,0
NA,0,NA,0,NA,1,0,1,0,4,12,40,0,0,0
27.5,0,NA,0,0,1,0,0,1,2,12,40,0,0,0
12,0,0,0,0,0,0,0,1,3,12,25,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
20.8,0,0,0,0,0,0,0,0,2,6,40,0,0,0
55,NA,NA,0,0,0,0,1,0,4,12,40,0,0,0
5,30,0,30,0.5,0,0,0,0,2,6,25,0,0,0
48,0,0,35,0,1,0,0,1,4,12,40,0,0,0
0,0,0,NA,0,0,0,0,1,2,0,0,0,0,0
98,0,2,0,0,1,0,1,0,4,12,40,0,0,0
23,NA,0,0,9.084,0,0,0,0,3,12,35,0,0,0
14,0,0,0,0.2,1,0,0,1,2,10,40,0,0,0
40,0,0,0,0,1,0,0,1,2,10,40,0,0,0
2,0,0,2.85,0,0,0,1,0,2,2,30,0,1,0
NA,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,0,0,0,1,0,0,1,2,7,20,0,0,0
32,0,0,0,0,0,0,0,0,3,12,40,0,0,0
68,0,NA,0,0.5,1,0,0,0,2,12,38,0,0,0
0,NA,NA,NA,NA,1,0,0,0,2,0,0,0,0,0
6,0,0,0,0,1,0,0,1,1,6,40,0,0,0
85,0,2.5,0,10,1,0,1,0,3,12,40,0,0,0
45,NA,0,0,0,1,0,0,1,2,12,40,0,0,0
NA,0,0,0,0,0,0,0,0,2,12,40,0,0,0
165,0,0,0,0,0,0,1,0,4,12,40,0,0,0
120,0,0.15,0,2,0,0,0,1,4,12,40,0,0,0
2.5,0,0.4,0,0,0,0,0,0,2,12,40,0,0,0
10.896,0,0,0,0,1,0,0,1,3,12,37,0,0,0
0,0,0,7.416,0,1,0,0,0,3,0,0,1,0,0
30,0,0,0,0,0,0,0,0,3,12,40,0,0,0
48,0,0.2,0,0.5,0,0,1,0,4,10,20,0,0,0
0,NA,NA,0,NA,0,0,1,0,4,0,0,0,0,0
143.5,0,0,0,1,1,0,1,0,4,12,40,0,0,0
5,0,0,0,12,0,0,0,0,4,3,35,0,0,0
0,0,0,0,0,1,0,0,1,3,0,0,0,0,0
50,0,0,0,NA,0,0,0,0,3,12,40,0,0,0
135,13,0.4,0,0,0,0,1,1,4,9,35,0,0,0
NA,NA,NA,0,0,0,0,1,0,3,12,30,0,0,0
NA,NA,NA,NA,0,1,0,0,0,3,11,35,0,0,0
NA,0,0,0,0.6,0,0,1,0,4,12,40,0,0,0
0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0
75,0,0.5,0,0,1,0,1,0,4,12,40,0,0,0
NA,NA,NA,NA,NA,1,0,1,0,3,12,40,0,0,0
30,0,NA,8,0,1,0,1,0,4,5,40,0,0,0
0,8,0,0,0,0,0,0,0,3,0,0,0,0,0
NA,0,NA,NA,0,0,0,1,1,2,12,35,0,0,0
33,0,0,0,0,0,0,0,0,3,12,37,0,0,0
0,9.6,0,7.2,0.3,0,1,0,1,1,0,0,1,0,0
18,0,0,0.3,5.944,0,0,0,0,3,12,40,0,0,1
125,0,0,0,0,1,0,0,0,4,12,40,0,0,0
NA,0,0,0,0.05,0,0,0,1,1,12,40,0,0,0
6,0,0,0,0,0,0,0,0,2,9,8,0,0,0
100,35,NA,0,0,0,0,1,0,3,12,40,0,0,0
33,0,0.1,0,5,0,0,0,0,3,12,40,0,0,0
220,240,3,0,0,1,0,1,0,2,12,40,0,0,0
93,0,0.1,0,NA,0,0,0,0,4,12,40,0,0,0
0,9.67,0,0,0,1,1,1,0,1,0,0,0,0,0
0,43,NA,0,NA,0,0,0,0,3,0,0,0,0,0
0,NA,NA,0,0,0,1,1,0,2,0,0,0,0,0
0,NA,NA,NA,NA,0,0,0,0,2.5,0,0,0,0,0
66,0,0.4,0,0.4,0,0,0,1,2,12,36,0,0,0
0,NA,NA,0,0,0,1,1,1,1,0,0,0,0,0
14,0,0,0,0,1,0,0,0,1,7,40,0,0,0
NA,0,0,0,0,0,0,1,0,4,12,40,0,0,0
27,0,0,0,0,0,0,0,1,2,12,40,0,0,0
6.4,0,0,0,0,0,0,0,1,2,11,40,0,0,0
43.2,0,0,4,0,1,0,0,1,3,9,35,0,0,0
NA,0,0,0,10,0,0,1,0,4,12,40,0,0,0
100,0,0,0,0.3,0,0,0,0,2,12,40,0,0,0
14.2,0,0,0,NA,0,0,0,1,3,11,8,0,0,0
NA,0,0,NA,0,0,0,0,0,1,9,40,0,0,0
47.5,0,0,0,0,0,0,0,1,2,12,40,0,0,0
5,0,0,0,0.8,0,0,0,0,2,5,24,0,0,0
105,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,NA,0,5,0,0,1,0,4,12,40,0,0,0
210,0,0.1,0,0,1,0,1,0,4,12,40,0,0,0
5,0,0,0,0.15,0,0,0,0,2,12,40,0,0,0
NA,0,NA,0,0,0,0,0,0,4,12,40,0,0,0
14.832,0,0,0,0,0,0,0,0,1,12,40,0,0,0
NA,0,0,5.4,0,0,0,0,1,1,12,40,1,0,0
32,0,NA,5,0.5,0,0,1,0,4,12,40,0,0,0
24,0,NA,0,NA,0,0,0,0,3,12,35,0,0,0
0,NA,NA,0,0,0,0,1,0,4,0,0,0,0,0
29,0,0,0,0,1,0,0,1,2,12,40,0,0,0
25,0,NA,0,0,1,0,1,0,4,12,40,0,0,0
NA,0,NA,0,0,0,0,1,0,4,11,21,0,0,0
NA,0,0,0,0,1,0,0,1,2,1,40,0,0,0
54,0,0,0,0,0,0,0,0,2,12,40,0,0,0
12,0,0.1,0,0.3,0,0,0,0,2,3,30,0,0,0
NA,0,0,0,0,1,0,0,1,1,12,40,0,0,0
0,180,15,0,0,1,1,1,0,4,0,0,0,0,0
0,15,NA,0,0,1,1,1,0,2,0,0,0,0,0
0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
0,NA,0,0.35,0.15,0,1,1,0,2,0,0,0,0,0
6.72,0,0,NA,0.25,1,0,0,0,1,8,35,0,0,0
30,0,0,0,0,0,0,0,1,3,12,35,0,0,0
11,0,0.1,0,0.3,0,0,0,1,3,12,40,0,0,0
30,0,0,0,0,0,0,0,0,3,12,40,0,0,0
0,0,0,6.636,0,0,0,0,0,1,0,0,1,0,0
NA,0,NA,0,0,1,0,1,1,4,12,40,0,0,0
8,0,0,0.36,0,1,0,0,1,2,8,40,0,1,0
NA,0,0,0,0,1,0,0,1,1,12,40,0,0,0
NA,0,0,NA,0,0,0,1,0,2,11,40,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,3.5,0,2,0,1,1,1,0,1,0,0,0,0,0
110,0,0,0,0,1,0,0,0,3,12,40,0,0,0
30,0,NA,0,0,1,0,0,0,4,12,40,0,0,0
NA,0,1,0,0,0,0,1,0,4,12,40,0,0,0
0,NA,0,NA,0,1,0,1,1,1,0,0,0,0,0
0,30,0,0,0.2,1,0,1,0,2,0,0,0,0,0
27,0,0.1,0,1,1,0,1,0,4,12,40,0,0,0
NA,NA,NA,NA,NA,1,0,1,0,4,12,40,0,0,0
108,0,0,0,0,0,0,0,0,1,12,10,0,0,0
8,0,0,0,0.1,1,0,0,0,3,11,25,0,0,0
0,0,NA,0,0,0,0,1,0,4,0,0,0,0,0
20,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,NA,0,0,1,0,0,1,4,12,5,0,0,0
16,0,0,0,14,0,0,1,0,3,12,40,0,0,0
30,0,0,9,0.6,1,0,0,1,3,12,8,1,1,0
0,0,0,0,9,0,0,0,0,3,0,0,0,0,0
NA,0,NA,0,NA,1,0,1,0,2,12,40,0,0,0
NA,0,NA,0,0,0,0,1,0,2,12,40,0,0,0
0,NA,0,0,0,1,1,1,0,4,0,0,0,0,0
60,0,0,0,NA,0,0,0,0,3,12,40,0,0,0
9,0,0,0,0,1,0,0,1,1,12,25,0,0,0
96,0,1,0,0,1,0,1,0,4,12,40,0,0,0
46,0,NA,0,10.6,0,0,0,0,2,12,40,0,0,0
91,0,0,0,0,0,0,1,0,4,12,40,0,0,0
NA,18,NA,0,0,1,1,0,1,4,10,30,0,0,0
NA,0,0,0,0,1,0,1,1,4,12,40,0,0,0
NA,0,NA,0,0,0,0,0,1,4,12,35,0,0,0
35,0,0,0,0,0,0,0,0,3,10,35,0,0,0
0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
NA,0,0,0,0,0,0,0,1,4,12,40,0,0,0
15,0,0,0,0,0,0,0,0,2,12,40,0,0,0
0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0
NA,0,NA,0,0.02,0,0,0,1,2,7,40,0,0,0
28,0,0,0,0,0,0,0,0,4,12,35,0,0,0
0,NA,NA,0,0,1,1,0,0,1,0,0,0,0,0
17.5,0,0,0,0,1,0,0,0,2,12,40,0,0,0
52,0,0,0,0,0,0,1,1,4,12,40,0,0,0
110,0,1,0,1,0,0,1,0,4,12,40,0,0,0
17,0,0,0,0,1,0,0,1,3,8,40,0,0,0
100,0,0.2,0,0,1,0,1,0,4,12,40,0,0,0
10.4,0,0,0,0.5,0,0,0,1,2,12,40,0,0,0
8.25,0,0,0,0.2,0,0,0,0,2,10,10,0,0,0
74,0,0,0,0.2,1,0,0,0,3,12,40,0,0,0
NA,0,NA,0,NA,1,0,1,0,3,12,35,0,0,0
62,0,0,0,0,0,0,0,1,3,11,37,0,0,0
NA,0,0,0,0,0,0,0,0,2,12,40,0,0,0
75,NA,3,0,0,1,0,1,0,4,12,30,0,0,0
120,0,0,0,0,1,0,1,0,4,12,40,0,0,0
0,0,0,0,0.35,0,0,0,1,2,0,0,0,0,0
163,0,0,0,2,1,0,1,0,2,12,40,0,0,0
9.6,0,0,0,0,0,0,0,1,1,12,40,0,0,0
