"earnings","retirement","interest","assistance","other","male","over65","white","immig","educ_r","workmos","workhrs_top","any_ssi","any_welfare","any_charity"
13,0,0,0,1,0,0,0,1,2,12,10,0,0,0
84,0,NA,0,NA,1,0,1,0,4,12,40,0,0,0
5,0,0,0,0,1,0,0,1,2,11,20,0,0,0
22.5,0,0,0,NA,0,0,0,1,1,12,40,0,0,0
0,7.6,0,0,0,0,1,0,1,1,0,0,0,0,0
NA,0,0,0,0.3,0,0,0,1,2,5,0,0,0,0
0,NA,0,0,0,0,0,0,0,3,0,0,0,0,0
12.22,0,0,3.116,0.4,0,0,0,0,3,10,8,0,1,0
0,0,0,3.6,NA,0,1,0,0,2,0,0,1,0,0
130,0,5,0,1,1,0,1,0,4,12,40,0,0,0
30,0,NA,0,0.2,1,0,1,0,4,12,40,0,0,0
70,0,0,NA,0,1,0,0,0,3,12,35,0,0,0
6,0,0,0,0.1,1,0,0,0,2,10,20,0,0,0
3250,0,0,0,NA,0,0,0,0,4,12,40,0,0,0
100,0,0,0,0,0,0,1,0,4,12,40,0,0,0
115,0,0,0,27,0,0,1,0,4,12,40,0,0,0
20,0,NA,0,0.025,1,0,0,1,4,12,20,0,0,0
32,0,NA,0,0,0,0,1,0,4,10,40,0,0,0
4,0,0,0,0.12,1,0,0,1,2,5,24,0,0,0
65,0,NA,0,0,0,0,0,1,4,12,35,0,0,0
43,0,0,0,0,1,0,1,0,2,12,40,0,0,0
90,0,0.1,0,0.2,1,0,1,0,4,12,35,0,0,0
22,0,0,0,0,0,0,0,0,3,12,40,0,0,0
0,2.4,0,1.2,2,0,0,0,0,2,0,0,1,0,0
75,0,0,0,0,1,0,0,0,3,12,40,0,0,0
NA,0,0,4,0,1,0,1,0,4,12,20,0,0,0
111,0,2,0,5,1,0,0,1,3,12,35,0,0,0
180,0,0,0,15,1,0,1,0,3,12,40,0,0,0
NA,0,0,0,0.1,0,0,0,1,2,10,40,0,0,0
73,0,0,0,0,0,0,0,0,1,12,40,0,0,0
0,NA,NA,0,0,1,1,0,0,4,0,0,0,0,0
0,NA,NA,0,0,0,0,1,1,1,0,0,0,0,0
0,NA,NA,0,NA,0,1,1,1,4,0,0,0,0,0
55,0,0,0,0,1,0,0,1,3,12,40,0,0,0
480,0,0,0,0,1,0,0,1,3,12,40,0,0,0
32,0,0,0,0,0,0,0,1,2,12,40,0,0,0
65,0,10,0,1,1,0,1,0,4,12,40,0,0,0
0,0,NA,0,0,1,0,1,0,2,0,0,0,0,0
NA,0,0,0,0,0,0,0,1,4,12,30,0,0,0
20,0,0,0,0,0,0,0,0,4,12,35,0,0,0
60,0,0,0,1,0,0,0,1,4,12,40,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,NA,NA,NA,0,0,0,0,4,12,40,0,0,0
27,0,0,0,0,0,0,0,1,4,12,40,0,0,0
10,0,0.3,0.7,NA,0,0,0,1,2,9,20,0,0,1
25,2.856,0,0,0,0,0,0,1,1,12,40,0,0,0
0,NA,0,0,0,0,0,0,1,2,0,0,0,0,0
0,15.8,0.5,0,0,1,1,1,1,2,0,0,0,0,0
35.2,6,0,0,0,0,0,0,0,3,12,40,0,0,0
76,0,0,0,0,1,0,0,0,4,12,40,0,0,0
0,6.252,0,8.64,0,1,1,0,0,1,0,0,0,0,0
30,0,0,0,0,1,0,1,1,3,12,40,0,0,0
27.5,0,0,0,0,1,0,0,0,2,12,35,0,0,0
32,0,0,0,0,1,0,0,1,3,8,40,0,0,0
12.5,0,0,0,0,0,0,0,1,3,12,40,0,0,0
6.72,0,0,0,0,1,0,0,1,1,11,40,0,0,0
0,0,0,0,0,1,0,1,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,0,0,1,12,40,0,0,0
0,3.27,0,10.796,0,0,0,0,0,1,0,0,1,1,0
0,NA,2,0,0.175,1,1,1,1,2,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1,12,35,0,0,0
0,54,6,0,0,1,1,1,0,2,0,0,0,0,0
0,NA,0,0.565,0.02,0,0,0,0,1,0,0,1,0,0
25,0,0,0,0,0,0,0,1,2,12,35,0,0,0
NA,0,0,0,0,0,0,0,1,2,10,40,0,0,0
40,0,0,0,0,0,0,0,0,2,12,35,0,0,0
0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0
690,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,0.5,0,0.5,0,0,1,0,4,12,40,0,0,0
100,0,0,0,0,1,0,1,0,3,8,40,0,0,0
NA,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,NA,0,0,0,0,0,0,4,12,40,0,0,0
9.6,NA,0,0,0.9,0,0,0,0,1,12,40,0,0,0
60,0,1,0,0,1,0,1,0,4,12,40,0,0,0
22,0,NA,0,NA,0,0,1,0,4,9,35,0,0,0
0,NA,NA,0,0,1,1,0,1,4,0,0,0,0,0
38,0,0,0,0,1,0,0,0,2,12,40,0,0,0
NA,0,0.14,0,0,0,0,1,1,3,7,40,0,0,0
NA,0,0,0,0,1,0,0,1,2.5,12,40,0,0,0
75,0,0.25,0,0,1,0,0,0,3,12,40,0,0,0
38,0,5,0,10,0,0,1,1,2,12,36,0,0,0
4,0,1.5,0,1,0,0,0,0,3,5,20,0,0,0
87,0,0,0,0,1,0,0,0,2,12,40,0,0,0
9,0,0.1,0,7,0,0,0,0,3,12,10,0,0,0
28.8,0,NA,0,0,0,0,1,1,2,12,40,0,0,0
30,0,NA,0,3.5,1,0,0,0,4,9,40,0,0,0
NA,0,NA,0,0.1,0,0,1,0,2,7,40,0,0,0
0,NA,NA,0,0,0,1,1,0,2,0,0,0,0,0
15.6,0,0,0,0,0,0,0,1,2,12,40,0,0,0
36,0,0,0,0,1,0,0,1,4,12,37,0,0,0
0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,3,12,40,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,NA,0,NA,NA,0,0,0,0,2,0,0,0,0,0
24,0,7,0,NA,1,0,1,0,4,12,30,0,0,0
10,0,0,5,0,1,0,0,1,1,7,35,0,0,0
46,0,0,0,0,0,0,0,1,4,12,37,0,0,0
127,0,0.1,0,0,1,0,0,1,4,12,40,0,0,0
0,8,1.5,0,0,0,1,1,0,2,0,0,0,0,0
22.5,0,0,0,0.1,1,0,0,1,2,12,40,0,0,0
96,0,0,0,0,1,0,0,1,2,12,40,0,0,0
0,NA,NA,0,0,0,1,0,0,2,0,0,0,0,0
36,0,NA,0,0,0,0,0,1,3,12,35,0,0,0
7.2,0,0,0,0,1,0,0,1,1,12,40,0,0,0
50,0,1,0,1,1,0,0,0,4,12,40,0,0,0
43.5,0,0,1,1,0,0,0,0,3,12,30,0,0,1
NA,0,0,4.6,0.6,0,0,0,1,3,6,40,0,0,1
20,0,0,0,0.4,1,0,0,1,4,12,40,0,0,0
0,NA,0,0,0,0,1,1,1,1,0,0,0,0,0
NA,0,0,5.4,0,0,0,0,0,2,10,35,0,0,0
48,0,0.15,0,NA,1,0,1,0,4,12,40,0,0,0
13.5,0,0.1,0,0,1,0,0,1,2,11,40,0,0,0
240,0,NA,0,NA,0,0,1,0,4,12,40,0,0,0
0,7,0.1,0,0,0,1,0,0,1,0,0,0,0,0
5,0,0,0.3,NA,1,0,0,0,2,3,6,0,1,0
110,0,0,0,0,1,0,1,0,2,12,35,0,0,0
3,0,0,0.4,0,0,0,0,0,2,12,40,0,0,0
0,10,NA,0,0,1,1,1,0,1,0,0,0,0,0
0,2,NA,NA,0,0,1,0,0,1,0,0,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
100,0,0,0,0,1,0,1,0,3,12,40,0,0,0
65,0,NA,0,0.5,1,0,0,0,2,12,40,0,0,0
NA,0,NA,0,0.1,0,0,0,0,2,12,40,0,0,0
305,0,0,2,0,0,0,1,1,2,11,40,0,0,0
58,0,NA,0,0,0,0,1,1,4,12,40,0,0,0
110,0,0.5,0,0.2,0,0,0,0,4,12,40,0,0,0
117,0,0,0,2,1,0,1,0,3,12,40,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,NA,0,NA,0,1,1,0,0,1,0,0,0,0,0
0,10,0,0,0,0,1,1,1,2,0,0,0,0,0
35,0,NA,1.5,0,0,0,0,0,2,10,35,0,0,0
140,0,12,0,1.1,1,0,0,1,4,12,40,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
43,0,0,0,12,0,0,0,0,4,12,40,0,0,0
12.5,0,0,0,0,0,0,1,1,2,12,40,0,0,0
40,0,0,0,0,0,0,0,0,4,12,40,0,0,0
0,0,0,NA,0,0,0,1,0,3,0,0,0,0,0
40,0,0,10,NA,1,0,0,1,2,10,40,0,0,0
30,0,0,0,0,1,0,0,0,2,12,37,0,0,0
35,0,0,0,0,1,0,0,0,2,12,40,0,0,0
10,0,0.2,0,0,0,0,1,1,4,5,40,0,0,0
0,0,0,6.48,0,0,0,0,0,1,0,0,1,0,0
2,65,NA,0,0,1,1,1,0,4,11,6,0,0,0
495,0,0.12,0,0,0,0,0,0,4,12,35,0,0,0
55,0,0,0,0,0,0,0,1,4,12,38,0,0,0
16.2,0,0,0,0.2,1,0,0,1,3,9,40,0,0,0
NA,0,NA,0,0,1,0,1,0,4,12,40,0,0,0
0,18,NA,0,0,0,1,1,1,3,0,0,0,0,0
65,0,60,0,10,1,0,1,0,2,12,40,0,0,0
1.85,0,0.5,0,6,0,0,0,0,3,2,40,0,0,0
NA,0,0,0,NA,0,0,0,1,2.5,11,40,0,0,0
70,0,0.2,0,0.1,1,0,1,0,3,12,40,0,0,0
50,0,NA,0,0,0,0,0,0,3,12,4,0,0,0
240,0,0,0,0,1,0,0,1,4,12,40,0,0,0
1500,0,0,0,0,1,0,1,1,4,12,40,0,0,0
0,0,0,0,0,1,0,0,1,4,0,0,0,0,0
NA,0,NA,0,0,1,0,0,1,4,9,40,0,0,0
140,0,0,0,0,1,0,0,1,4,12,40,0,0,0
0,0,NA,NA,0,0,0,0,1,4,0,0,0,0,0
5,NA,0,NA,NA,0,0,0,0,3,11,40,0,0,0
0,7.2,0,0,0,1,1,0,0,1,0,0,0,0,0
46,0,0,0,0,0,0,0,1,3,11,40,0,0,0
6.4,0,0,0,0.15,0,0,0,1,2,8,22,0,0,0
0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
NA,0,0,0,0,0,0,0,1,1,12,40,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0,0.3,0,0.25,0,0,1,0,4,10,32,0,0,0
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
NA,0,0,NA,0,0,0,1,0,2,12,35,0,0,0
30,0,2,0,0,0,0,0,1,3,12,40,0,0,0
45,0,NA,0,0,0,0,0,1,3,12,35,0,0,0
62,0,NA,0,0.3,1,0,0,0,2,12,40,0,0,0
60,0,0,0,0,0,0,1,0,2,10,35,0,0,0
NA,0,0,0,0,0,0,0,1,1,11,35,0,0,0
60,0,0,0,0,0,0,0,0,4,10,40,0,0,0
44,0,0,0,0,1,0,0,1,2,12,40,0,0,0
10.1,0,NA,0,0,1,0,0,0,4,12,40,0,0,0
19.2,0,0,0,0.5,0,0,0,0,3,12,40,0,0,0
6,0,0,0,0,1,0,0,1,3,11,40,0,0,0
28,0,0,0,0,0,0,0,1,3,12,30,0,0,0
NA,0,0,0,0.05,1,0,0,1,3,8,40,0,0,0
30,0,0,0,0,1,0,0,0,4,12,30,0,0,0
NA,0,NA,0,0,1,0,0,1,3,12,40,0,0,0
32.4,0,NA,0,0,1,0,0,1,4,12,40,0,0,0
171,0,3,0,0,0,0,0,0,4,12,40,0,0,0
61,0,NA,0,0,1,0,0,0,3,12,40,0,0,0
73,0,0.2,0,0,0,0,1,0,4,12,40,0,0,0
55,0,1.5,0,1.5,0,0,1,0,3,12,40,0,0,0
30,30,0,0,0,0,0,1,0,2,12,35,0,0,0
14,0,0.15,0.35,0.1,1,0,0,1,2,6,40,0,0,0
10,0,0,0,0,1,0,0,1,1,10,30,0,0,0
0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,2,12,40,0,0,0
30,0,0,0,0,0,0,1,0,2,12,35,0,0,0
88,0,0,0,0,0,0,0,1,4,11,40,0,0,0
26,0,0,0,0,1,0,0,0,2,12,37,0,0,0
125,0,0,0,2,0,0,1,0,3,12,40,0,0,0
11.2,0,0,0,5,0,0,0,1,3,8,40,0,0,0
0,11.448,0,0,0,1,1,0,0,1,0,0,0,0,0
45,4.5,0,0,0,0,0,1,0,3,9,40,0,0,0
64.8,0,0.8,0,0,0,0,1,0,2,12,38,0,0,0
332,0,5,0,0.5,0,0,1,1,4,12,40,0,0,0
21,0,0,0,0,1,0,0,1,4,12,40,0,0,0
3.2,0,0,0,0.05,0,0,0,0,2,8,15,0,0,0
80,0,0.1,0,0,1,0,0,0,3,12,40,0,0,0
0,0.96,0,0.96,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0,NA,NA,0,0,0,0,1,1,4,0,0,0,0,0
6.3,0,0,0,0,0,0,0,0,2,12,40,0,0,0
0,21,0,21,0,0,1,0,0,2,0,0,0,0,0
19,0,0,0,0,1,0,0,1,3,12,40,0,0,0
1.4,0,0,0,NA,0,0,0,0,1,3,40,0,0,0
30,0,0,0,0,0,0,0,0,3,9,40,0,0,0
71,0,0,0,NA,0,0,0,0,4,12,40,0,0,0
33.6,0,0,0,0,0,0,1,0,3,12,40,0,0,0
0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0
90,0,0,0,0.5,1,0,1,0,4,12,40,0,0,0
40,0,NA,0,NA,0,0,0,1,4,12,40,0,0,0
NA,0,0,0,0.5,0,0,1,1,1,10,40,0,0,0
NA,0,0,0,0.3,1,0,0,1,4,11,10,0,0,0
0,0,1.5,NA,0,0,1,1,0,2,0,0,1,0,0
NA,0,NA,0,0,0,0,0,1,2.5,12,40,0,0,0
0,7,0,7,0,1,1,0,0,1,0,0,1,0,0
35,0,0,0,3.2,0,0,0,0,3,12,37,0,0,0
60,0,0,0,0.1,0,0,0,0,4,12,35,0,0,0
35,0,0,0,1,0,0,0,0,4,12,30,0,0,0
0,0,0,NA,0,0,1,0,0,1,0,0,0,0,0
NA,0,0,0,0,1,0,0,1,3,10,40,0,0,0
43,0,0.134,0,0.15,0,0,0,1,3,12,37,0,0,0
NA,0,0,0,0,0,0,0,1,3,12,35,0,0,0
0.61,0,0,0,0,1,1,1,0,4,3,3,0,0,0
0,24,0,0,0,1,1,0,1,3,0,0,0,0,0
14.4,0,0,0,0,0,0,0,1,2,12,40,0,0,0
NA,0,0,0,0,1,0,0,1,1,4,40,0,0,0
NA,0,NA,0,0,0,0,0,0,4,12,40,0,0,0
82,0,0,0,0.2,1,0,0,0,4,12,40,0,0,0
NA,0,NA,0,0,0,0,0,1,4,12,40,0,0,0
568,0,0,0,0,0,0,0,0,4,12,16,0,0,0
NA,0,0,0,0,0,0,1,0,2,12,40,0,0,0
60,0,1,0,0,1,0,1,0,2,12,35,0,0,0
NA,0,NA,1.468,0,0,0,0,1,1,1,32,0,0,0
24.6,0,0,0,0,0,0,0,1,3,12,38,0,0,0
0,0,0,0,4,1,0,0,0,2,0,0,0,0,0
45,0,0,0,0,1,0,0,0,2,12,40,0,0,0
0,NA,NA,NA,NA,0,0,0,0,4,0,0,0,0,0
140,0,0,0,0,0,0,1,0,3,12,40,0,0,0
0,0,0,0,0,1,0,1,1,2,0,0,0,0,0
39,0,NA,0,0,0,0,0,0,3,12,37,0,0,0
6,0,0,0,0,1,0,0,1,1,3,40,0,0,0
158,0,3,0,10,1,0,1,0,4,9,40,0,0,0
0,NA,0,0,0,0,0,0,0,3,0,0,0,0,0
100,0,0.13,0,0,0,0,1,0,4,12,40,0,0,0
45,0,0,0,0,0,0,1,1,4,12,40,0,0,0
37,0,0,0,0,1,0,0,1,1,10,40,0,0,0
45,0,0,0,0.8,1,0,1,0,4,12,40,0,0,0
0,0,0,1.608,0,0,0,0,0,1,0,0,0,1,0
NA,0,0,0,0,1,0,1,0,2,11,40,0,0,0
63,0,0,0,0,1,0,1,0,2,12,40,0,0,0
75,0,0.1,0,0,0,0,1,0,4,12,40,0,0,0
NA,0,0,0,0,1,0,1,0,3,4,40,0,0,0
13.44,0,0,0,NA,1,0,0,1,2,12,24,0,0,0
NA,0,0,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,0,0,NA,0,0,0,0,3,2,40,0,0,0
0,0,0,0,1.5,1,0,0,1,2,0,0,0,0,0
30,0,0,0,1,1,0,1,1,4,12,30,0,0,0
NA,0,0,NA,0,0,0,0,1,2,12,40,0,0,0
5,0,0,0,0.1,1,0,1,0,3,1,15,0,0,0
50,0,1.2,0,0.04,1,0,0,0,3,12,40,0,0,0
8.4,0,0,0,0,1,0,0,0,2,3,30,0,0,0
0,0,0,1.308,0.6,0,0,0,1,3,0,0,0,1,0
39,0,0,0,0,1,0,0,0,1,12,35,0,0,0
0.5,0,0,0,0,0,0,0,1,3,2,10,0,0,0
NA,0,0,NA,0,0,0,0,1,1,12,40,0,0,0
55,0,2,0,NA,1,0,1,0,4,12,40,0,0,0
1.8,23.5,4.5,NA,0.1,0,1,1,0,4,11,40,0,0,0
21.6,47,1.2,0,0,1,1,0,0,3,12,40,0,0,0
21,0,0,0,0,1,0,0,1,3,12,40,0,0,0
142,0,NA,0,NA,1,0,1,0,4,12,37,0,0,0
100,0,0,0,0,0,0,0,1,4,12,40,0,0,0
0,NA,NA,0,0,0,1,1,0,3,0,0,0,0,0
33,0,0,0,0.1,0,0,1,0,4,12,40,0,0,0
0,NA,0,0,NA,0,1,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
NA,3,NA,0,0,0,0,0,1,1,10,40,0,0,0
129,0,0,0,0,0,0,0,0,3,12,40,0,0,0
5.76,0,0,0,0,1,0,0,1,2,1,40,0,0,0
NA,0,0,0,0,1,0,0,1,4,12,40,0,0,0
0,NA,NA,NA,NA,0,0,1,0,3,0,0,0,0,0
19.2,11.844,0,NA,0,1,0,0,0,2,12,40,0,0,0
58,0,0,0,0.7,0,0,0,0,3,12,40,0,0,0
0,0,0,0,NA,0,1,0,1,4,0,0,0,0,0
0,0,0,0,0,1,0,0,1,4,0,0,0,0,0
0,NA,0,0.7,0,0,1,0,0,1,0,0,0,1,0
NA,0,NA,NA,0,0,0,0,1,2,11,40,0,0,0
0,8.34,0,0,0,1,1,0,0,3,0,0,0,0,0
70,0,0,4.8,0.2,0,0,1,0,4,9,40,0,0,0
200,0,NA,0,0,1,0,1,0,4,12,40,0,0,0
16.5,0,0,0,0,1,0,0,1,1,12,40,0,0,0
100,0,NA,0,0,1,0,0,0,4,12,40,0,0,0
100,15,NA,0,0,1,1,1,0,4,12,35,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
68,0,NA,0,0,0,0,0,0,4,12,40,0,0,0
40.8,0,0,0,0,0,0,0,0,3,12,40,0,0,0
62,1.592,0,6.5,0,1,0,0,1,1,12,40,0,0,0
52,0,0.5,0,0,0,0,1,0,4,10,32,0,0,0
12,0,0,0,0,1,0,0,1,3,12,40,0,0,0
12.5,0,0,8,0.1,0,0,0,0,3,4,6,0,0,0
78,0,15,0,NA,1,0,0,1,4,12,40,0,0,0
28,NA,NA,0,0,1,0,0,1,1,12,40,0,0,0
90,0,0,0,0,0,0,1,0,2,12,40,0,0,0
NA,0,0,0,0,0,0,1,0,3,12,16,0,0,0
165,0.6,NA,4.8,0.2,0,0,1,0,4,12,40,0,0,0
0,0,0,3,0,0,0,0,1,2,0,0,0,0,0
30,0,0.4,0,0,1,0,1,0,4,12,35,0,0,0
600,0,NA,0,0,0,0,0,0,4,12,40,0,0,0
6,0,0,4.14,0,0,0,0,0,1,9,30,0,1,0
NA,0,0,0,0,0,0,0,0,3,12,35,0,0,0
NA,NA,NA,NA,NA,0,0,1,0,2,12,40,0,0,0
NA,0,0,0,0,1,0,0,1,4,12,40,0,0,0
10,0,0,0,0,1,0,0,0,1,12,40,0,0,0
0,0,0,NA,0,0,0,0,1,3,0,0,0,0,0
42,0,0,0,0,0,0,1,1,4,12,40,0,0,0
12,0,0,1.68,0,1,0,0,0,2,11,40,0,1,0
22.5,0,0,0,0,1,0,0,0,2,12,40,0,0,0
38,0,0,0,0,0,0,0,1,2,12,40,0,0,0
0,NA,0,1.2,0,0,1,0,1,3,0,0,1,0,0
NA,NA,NA,NA,0,1,1,0,1,4,2,6,0,0,0
72,0,0,0,0,0,0,1,1,4,12,40,0,0,0
5,0,0,0,0,0,0,0,0,3,5,25,0,0,0
NA,0,0,0,0,1,0,0,1,1,9,40,0,0,0
45,0,0,0,1.5,0,0,0,0,4,6,40,0,0,0
95,0,0,0,0,1,0,0,1,2,12,40,0,0,0
1.32,0,0,0,0.3,1,0,0,0,2,3,30,0,0,0
29,0,0,NA,0,0,0,0,1,2,12,40,0,0,0
50,0,0,0,0,0,0,0,0,2,12,8,0,0,0
165,0,5,0,0,1,0,1,0,4,12,40,0,0,0
35,0,0.5,0,0,1,0,1,0,4,12,40,0,0,0
62.5,0,0.2,0,0,0,0,1,0,4,12,40,0,0,0
105,0,0,0,0,0,0,1,0,4,12,40,0,0,0
97.5,0,NA,0,0.8,0,0,0,1,3,12,40,0,0,0
40,0,0.15,0,0,0,0,1,0,4,10,30,0,0,0
0,14,20,0,0,0,1,1,1,4,0,0,0,0,0
0,NA,NA,0,0,0,1,1,0,2,0,0,0,0,0
0,0,NA,0,4.5,0,0,1,0,3,0,0,0,0,0
0,NA,NA,0,NA,0,1,0,1,2.5,0,0,0,0,0
0,0,NA,0,0,1,0,0,0,4,0,0,0,0,0
0,0,0,7.584,0,1,0,0,0,1,0,0,1,0,0
56,0,0,0,0,0,0,1,0,2,12,40,0,0,0
NA,0,0,0,NA,0,0,0,1,1,10,40,0,0,0
0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0
54.2,0,0,0,0,0,0,1,1,2,12,40,0,0,0
0,0,0,NA,0,0,1,1,1,2,0,0,1,0,0
NA,0,0,0,0,1,0,0,0,2,12,7,0,0,0
4,NA,NA,0,0,0,0,1,0,4,6,40,0,0,0
53,0,0.2,0,0,0,0,1,0,4,12,40,0,0,0
75,0,0,0,0,0,0,0,1,4,12,9,0,0,0
51.6,0,0,0,0,1,0,0,1,1,12,40,0,0,0
18,0,0,0,0.336,0,0,0,1,3,12,40,0,0,0
600,0,NA,0,0,0,0,1,0,4,12,35,0,0,0
12,0,0,0,6,1,0,0,1,3,12,40,0,0,0
34,0,0,0,0,0,0,0,0,3,12,40,0,0,0
NA,0,NA,0,NA,0,0,0,0,2,12,35,0,0,0
14,0,0,1.5,0,0,0,0,0,4,7,40,0,0,1
52.5,0,0,0,0,1,0,0,1,3,10,40,0,0,0
25,0,0,0,0,0,0,0,0,2,12,37,0,0,0
0,NA,0,0,0,0,0,1,0,2,0,0,0,0,0
9.6,0,0,0,0,0,0,1,1,2,12,40,0,0,0
1.92,0,0,0.762,0.5,0,0,0,0,2,3,20,0,1,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
24,0,0,0,0,0,0,0,0,2,12,40,0,0,0
NA,0,0,0,0,1,0,1,0,2,12,35,0,0,0
40,0,0,0,0,1,0,1,0,3,12,37,0,0,0
35,0,0,0,2,0,0,0,1,2,12,40,0,0,0
5,0,0,6.228,0,0,0,0,0,2,4,4,0,1,0
22.5,0,0.1,0,0,0,0,0,1,1,12,40,0,0,0
NA,0,0,0,NA,0,0,0,0,4,12,40,0,0,0
NA,0,NA,0,0,0,0,1,0,4,12,40,0,0,0
