"vote","pid"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
1,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
0,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
NA,"Republican"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
1,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
0,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
NA,"Democrat"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
1,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
0,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
NA,"Independent"
